Reference, Quantity, Value, Footprint, Datasheet
ACT1 PORT1 PORT2 PORT3 PORT4 ,5,~,LEDs:LED_0805,
C13 C15 C16 ,3,2200u,Capacitors_THT:CP_Radial_D16.0mm_P7.50mm,
C14 ,1,100u,Capacitors_ThroughHole:CP_Radial_D8.0mm_P3.80mm,
C1 C2 C5 ,3,10uF,Capacitors_SMD:C_0805,
C3 C4 C6 ,3,0.1uF,Capacitors_SMD:C_0805,
JP2 ,1,J,USST-footprints:J_0603,
M1 ,1,FE1.1S,USST-footprints:FE1.1S_SSOP-28,
P1 ,1,USB_OTG,Connectors:USB_Mini-B,
P12 P13 P14 ,3,CONN_01X02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm,
P2 P6 P9 ,3,EC90_Flat,USST-footprints:Molex_MiniFit-JR-5569-08A2_2x04x4.20mm_Angled_Overhang,
P10 P3 P7 ,3,AMP17614426-2_EDGE,USST-footprints:TE2007088-1_Backplane2,
P11 P4 P8 ,3,CONN_01X06,Pin_Headers:Pin_Header_Angled_2x03_Pitch2.54mm,
P5 ,1,CONN_01X04,USST-footprints:Molex_39502_1004R,
P5V1 ,1,CONN_01X02,USST-footprints:Molex_39531_1002,
PBAT1 ,1,CONN_01X02,USST-footprints:Phoenix_Contact_PLA5,
R1 ,1,100K,Resistors_SMD:R_0805,
R2 ,1,47K,Resistors_SMD:R_0805,
R3 R4 R5 ,3,330,Resistors_SMD:R_0805,
R6 ,1,120,Resistors_SMD:R_0805,
REXT1 ,1,2.7K,Resistors_SMD:R_0805,
USB1 ,1,USB-TYPA,USST-footprints:USB_A_PTH_AMP787616-1,
XL1 ,1,12MHz,USST-footprints:HC49UP_SMT_Crystal,
