Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN,Notes
C11,330u,Capacitors_SMD:CP_Elec_10x10.5,1,Panasonic Electronic Components,EEE-FT1H331AP,Digikey,PCE5026CT-ND,
C4,1nF,Capacitors_SMD:C_0805,1,KEMET,C0805C102K5RACTU,Digikey,399-1147-1-ND,
C6,100n,Capacitors_SMD:C_0805_HandSoldering,1,AVX Corporation,08055C104KAT2A,Digikey,478-1395-1-ND,
C2,0.1uF,Capacitors_SMD:C_1210,1,KEMET,C1210C104K1RACTU,,399-1268-1-ND,
C1,1nF,Capacitors_SMD:C_1210,1,KEMET,C1210C102KGRACTU,Digikey,399-7095-1-ND,
C10;C9;C8;C7,4.7u,Capacitors_SMD:C_1210,4,Murata Electronics North America ,GRM32ER71H475KA88L,Digikey,490-1864-1-ND,
C3;C5,Test,Capacitors_SMD:C_1210,2,Murata Electronics North America ,GRM32QR73A103KW01L ,Digikey,490-3500-1-ND,
D1;D2,1N4448W,Diodes_SMD:D_SOD-123,2, Micro Commercial Co ,1N4448W-TP,Digikey,1N4448WTPMSCT-ND,
U1;U3,ACS712,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,2,Allegro MicroSystems LLC,ACS712ELCTR-20A-T,Digikey,620-1190-2-ND,
U2,MCP2562,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,1,Microchip Technology,MCP2562T-E/SN,Digikey,MCP2562T-E/SNTR-ND,
R22,383k,Resistors_SMD:R_0805,1,Yageo,RC0805FR-07383KL,Digikey,311-383KCRCT-ND,
R2;R4;R21,10k,Resistors_SMD:R_0805_HandSoldering,3,Yageo ,RC0805FR-0710KL ,Digikey,311-10.0KCRCT-ND,
R20,114k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07115RL,Digikey,311-115CRCT-ND,
R19,130k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07130KL,Digikey,311-130KCRCT-ND,
R18,152k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07154KL,Digikey,311-154KCRCT-ND,
R17,182k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07182KL,Digikey,311-182KCRCT-ND,
R16,227k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07226KL,Digikey,311-226KCRCT-ND,
R1;R3,2k,Resistors_SMD:R_0805_HandSoldering,2,Yageo,RC0805FR-072KL,Digikey,311-2.00KCRCT-ND,
R15,303k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07301KL,Digikey,311-301KCRCT-ND,
R14,455k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07453KL,Digikey,311-453KCRCT-ND,
R11,545k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07549KL,Digikey,311-549KCRCT-ND,
R10,697k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07698KL,Digikey,311-698KCRCT-ND,
R9,773k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07768KL,Digikey,311-768KCRCT-ND,
R8,818k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07820KL,Digikey,311-820KCRCT-ND,
R7,848k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07845KL,Digikey,311-845KCRCT-ND,
R6,870k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07866KL,Digikey,311-866KCRCT-ND,
R5,886k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07887KL,Digikey,311-887KCRCT-ND,
R12,90.9k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-0790K9L,Digikey,311-90.9KCRCT-ND,
R13,909k,Resistors_SMD:R_0805_HandSoldering,1,Yageo,RC0805FR-07909KL,Digikey,311-909KCRCT-ND,
TH1,NTC-10k,Resistors_SMD:R_0805_HandSoldering,1,Murata Electronics North America,NCP18XH103F03RB,Digikey,490-4800-1-ND,
P26,CONN_8,Socket_Strips:Socket_Strip_Straight_1x08_Pitch2.54mm,1,Sullins Connector Solutions,PRPC016SAAN-RC,Digikey,S1011EC-16-ND,
P1,ATX-20,USST-footprints:ATX20,1,,,(In Stock),,
P19,CAN_CONN,USST-footprints:Molex_39502_1004R,1,Molex LLC,395021004,Digikey,WM7772-ND,
P20,BAT_CONN,USST-footprints:Molex_39502_1009R,1,MOLEX,39502-1009,Element14,03N5777,Ordered via Arrow
P2;P7;P10;P14;P4;P8;P11;P15;P5;P12;P16;P22;P21;P27;P28,CONN_2,USST-footprints:Molex_39531_1002,15,Molex LLC,395311002,Digikey,WM7837-ND,
U4,PTN78020,USST-footprints:PTN7820H,1,,,(In Stock),,
P6;P9;P13;P17;P18,CONN_2,USST-footprints:Phoenix_Contact_1770539,5,Phoenix Contact,1770539,Digikey,277-9758-ND,
M1,Teensy3,USST-footprints:Teensy_3.2_NoTail,1,,,,,
