Refs,Value,Footprint,QTY,MFR,MPN,SPR,SPN
C8;C6;C5,0.1uF,Capacitors_SMD:C_0805,3,AVX Corporation,08055C104KAT2A ,Digikey,478-1395-1-ND
C7;C3;C4,10uF,Capacitors_SMD:C_0805,3,Murata Electronics North America,GRM21BR61D106KE15L,Digikey,490-10512-1-ND
C2,100u,Capacitors_ThroughHole:C_Axial_L17.0mm_D7.0mm_P20.00mm_Horizontal,1,Nichicon ,TVX1H101MAD,Digikey,493-13369-ND
C1,100u,Capacitors_ThroughHole:C_Axial_L17.0mm_D7.0mm_P25.00mm_Horizontal,1,Nichicon ,TVX1H101MAD,Digikey,493-13369-ND
P7,USB_DS,Connect:USB_A,1,,,(Sample - In Stock),
P4,USB_OTG_UP,Connect:USB_Mini-B,1,,,(Sample - In Stock),
P9,M1;M2;M3;POWER_IN,Connect:bornier2,4,Molex Connector Corporation,39531-1002,Digikey,WM7837-ND
XL1,12MHz,Crystals:Crystal_SMD_2012-2pin_2.0x1.2mm_HandSoldering,1,Abracon LLC,ABM10-167-12.000MHZ-T3,Digikey,535-13521-1-ND
ACT1;PORT1;PORT2;PORT4;PORT3,~,LEDs:LED_0805,5,OSRAM Opto Semiconductors Inc.,LY R976-PS-36,Digikey,475-2560-1-ND
R1,100K,Resistors_SMD:R_0805,1,Yageo,RC0805FR-07100KL,Digikey,311-100KCRCT-ND
REXT1,2.7K,Resistors_SMD:R_0805,1,Yaego,RC0805FR-072K7L,Digikey,311-2.70KCRCT-ND
R3;R4;R5,330R,Resistors_SMD:R_0805,3,Yaego,RC0805FR-07330RL,Digikey,311-330CRCT-ND
R2,47K,Resistors_SMD:R_0805,1,Yageo,RC0805FR-0747KL,Digikey,311-47.0KCRCT-ND
M1,FE1.1S,USST-footprints:FE1.1S_SSOP-28,1,,,(In Stock),
P1;P2;P3,"USB_OTG_M1, USB_OTG_M2, USB_OTG_M3, ",USST-footprints:USB3150_Micro_Vertical,3,GLOBAL CONNECTOR TECHNOLOGY,USB3150-30-130-A,Element14,49Y1723
P6,USB_OTG_UP,USST-footprints:WRCOM_MINI_USB_VERT,1,,,(Sample - In Stock),
P5,USB_DS,USST-footprints:WRCOM_USB_A_VERT,1,,,(Sample - In Stock),
