"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BK-833";1;"BK-883";;;
2;"C1,C2,C4,C5,C6,C7,C8,NP_C1";"C_0603";8;"100n";;;
3;"C3";"C_0603";1;"1u";;;
4;"J1";"MF_Connectors-MICROUSB-RIGHT";1;"USB_MICRO_RIGHT";;;
5;"NP_C2,NP_C3";"C_0603";2;"15p";;;
6;"NP_R1,R4";"R_0603";2;"10k";;;
7;"NP_R2";"R_0603";1;"1k";;;
8;"P1";"Pin_Header_Straight_2x05_Pitch1.27mm";1;"SWD_CONN";;;
9;"Q1";"SOT-490";1;"RE1C002UN";;;
10;"R1";"R_0603";1;"330";;;
11;"R2,R3";"R_0603";2;"4.7k";;;
12;"SW1";"MF_Switches-TACT4.2MM";1;"TACT_4.2MM";;;
13;"U1";"TQFP-48_7x7mm_Pitch0.5mm";1;"ATSAMD21G18A";;;
14;"U2";"LGA-14";1;"LSM6DS3";;;
15;"U3";"LGA-8";1;"BMP280";;;
16;"Y1";"Crystal_SMD_MicroCrystal_CC8V-T1A-2pin_2.0x1.2mm";1;"ABS06-107-32.768KHZ-T";;;
17;"P2";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"CONN_01X06";;;
